TripID,DepartureLocation,Destination,DepartureTime,Status,DriverID,VehicleID
21,Nazareth,Jerusalem,2024-01-21 06:00:00,true,282,251
22,Ashdod,Haifa,2024-01-21 09:00:00,true,90,433
23,Jerusalem,Tel Aviv,2024-01-21 12:00:00,true,224,239
24,Tiberias,Safed,2024-01-21 15:00:00,true,204,430
25,Ashdod,Raanana,2024-01-21 18:00:00,false,7,164
26,Eilat,Netanya,2024-01-21 21:00:00,false,285,160
27,Ashdod,Herzliya,2024-01-22 00:00:00,false,105,95
28,Holon,Jerusalem,2024-01-22 03:00:00,false,353,271
29,Ashkelon,Tel Aviv,2024-01-22 06:00:00,false,128,388
30,Tel Aviv,Tiberias,2024-01-22 09:00:00,false,371,197
31,Eilat,Jerusalem,2024-01-22 12:00:00,true,234,297
32,Tel Aviv,Bat Yam,2024-01-22 15:00:00,true,104,390
33,Beer Sheva,Raanana,2024-01-22 18:00:00,false,167,380
34,Netanya,Nazareth,2024-01-22 21:00:00,false,74,176
35,Tiberias,Ashkelon,2024-01-23 00:00:00,true,168,474
36,Holon,Beer Sheva,2024-01-23 03:00:00,true,333,58
37,Ashdod,Bat Yam,2024-01-23 06:00:00,true,324,411
38,Beer Sheva,Jerusalem,2024-01-23 09:00:00,true,323,218
39,Nazareth,Raanana,2024-01-23 12:00:00,false,470,147
40,Beer Sheva,Haifa,2024-01-23 15:00:00,true,270,439
41,Bat Yam,Tiberias,2024-01-23 18:00:00,false,371,225
42,Haifa,Tiberias,2024-01-23 21:00:00,false,94,49
43,Herzliya,Jerusalem,2024-01-24 00:00:00,true,164,433
44,Safed,Jerusalem,2024-01-24 03:00:00,false,391,480
45,Tiberias,Beer Sheva,2024-01-24 06:00:00,true,118,274
46,Ashkelon,Safed,2024-01-24 09:00:00,false,115,301
47,Holon,Haifa,2024-01-24 12:00:00,false,4,270
48,Tiberias,Herzliya,2024-01-24 15:00:00,true,520,109
49,Herzliya,Safed,2024-01-24 18:00:00,false,520,204
50,Haifa,Netanya,2024-01-24 21:00:00,true,1,332
